module_name,module_type,has_weight,weight_shape,has_bias,bias_shape,is_linear,is_conv,is_norm,is_attention_like,is_ffn_like
,SwinTransformerV2,False,,False,,False,False,False,False,False
patch_embed,PatchEmbed,False,,False,,False,False,False,False,False
patch_embed.adaptive_padding,AdaptivePadding,False,,False,,False,False,False,False,False
patch_embed.projection,Conv2d,True,"(352, 3, 4, 4)",True,"(352,)",False,True,False,False,False
patch_embed.norm,LayerNorm,True,"(352,)",True,"(352,)",False,False,True,False,False
drop_after_pos,Dropout,False,,False,,False,False,False,False,False
stages,ModuleList,False,,False,,False,False,False,False,False
stages.0,SwinBlockV2Sequence,False,,False,,False,False,False,False,False
stages.0.blocks,ModuleList,False,,False,,False,False,False,False,False
stages.0.blocks.0,SwinBlockV2,False,,False,,False,False,False,False,False
stages.0.blocks.0.attn,ShiftWindowMSA,False,,False,,False,False,False,True,False
stages.0.blocks.0.attn.w_msa,WindowMSAV2,False,,False,,False,False,False,True,False
stages.0.blocks.0.attn.w_msa.cpb_mlp,Sequential,False,,False,,False,False,False,True,True
stages.0.blocks.0.attn.w_msa.cpb_mlp.0,Linear,True,"(512, 2)",True,"(512,)",True,False,False,True,True
stages.0.blocks.0.attn.w_msa.cpb_mlp.1,ReLU,False,,False,,False,False,False,True,True
stages.0.blocks.0.attn.w_msa.cpb_mlp.2,Linear,True,"(8, 512)",False,,True,False,False,True,True
stages.0.blocks.0.attn.w_msa.qkv,Linear,True,"(1056, 352)",False,,True,False,False,True,False
stages.0.blocks.0.attn.w_msa.attn_drop,Dropout,False,,False,,False,False,False,True,False
stages.0.blocks.0.attn.w_msa.proj,Linear,True,"(352, 352)",True,"(352,)",True,False,False,True,False
stages.0.blocks.0.attn.w_msa.proj_drop,Dropout,False,,False,,False,False,False,True,False
stages.0.blocks.0.attn.w_msa.softmax,Softmax,False,,False,,False,False,False,True,False
stages.0.blocks.0.attn.drop,DropPath,False,,False,,False,False,False,True,False
stages.0.blocks.0.norm1,LayerNorm,True,"(352,)",True,"(352,)",False,False,True,False,False
stages.0.blocks.0.ffn,FFN,False,,False,,False,False,False,False,True
stages.0.blocks.0.ffn.activate,GELU,False,,False,,False,False,False,False,True
stages.0.blocks.0.ffn.layers,Sequential,False,,False,,False,False,False,False,True
stages.0.blocks.0.ffn.layers.0,Sequential,False,,False,,False,False,False,False,True
stages.0.blocks.0.ffn.layers.0.0,Linear,True,"(1408, 352)",True,"(1408,)",True,False,False,False,True
stages.0.blocks.0.ffn.layers.0.2,Dropout,False,,False,,False,False,False,False,True
stages.0.blocks.0.ffn.layers.1,Linear,True,"(352, 1408)",True,"(352,)",True,False,False,False,True
stages.0.blocks.0.ffn.layers.2,Dropout,False,,False,,False,False,False,False,True
stages.0.blocks.0.ffn.dropout_layer,DropPath,False,,False,,False,False,False,False,True
stages.0.blocks.0.norm2,LayerNorm,True,"(352,)",True,"(352,)",False,False,True,False,False
stages.0.blocks.1,SwinBlockV2,False,,False,,False,False,False,False,False
stages.0.blocks.1.attn,ShiftWindowMSA,False,,False,,False,False,False,True,False
stages.0.blocks.1.attn.w_msa,WindowMSAV2,False,,False,,False,False,False,True,False
stages.0.blocks.1.attn.w_msa.cpb_mlp,Sequential,False,,False,,False,False,False,True,True
stages.0.blocks.1.attn.w_msa.cpb_mlp.0,Linear,True,"(512, 2)",True,"(512,)",True,False,False,True,True
stages.0.blocks.1.attn.w_msa.cpb_mlp.1,ReLU,False,,False,,False,False,False,True,True
stages.0.blocks.1.attn.w_msa.cpb_mlp.2,Linear,True,"(8, 512)",False,,True,False,False,True,True
stages.0.blocks.1.attn.w_msa.qkv,Linear,True,"(1056, 352)",False,,True,False,False,True,False
stages.0.blocks.1.attn.w_msa.attn_drop,Dropout,False,,False,,False,False,False,True,False
stages.0.blocks.1.attn.w_msa.proj,Linear,True,"(352, 352)",True,"(352,)",True,False,False,True,False
stages.0.blocks.1.attn.w_msa.proj_drop,Dropout,False,,False,,False,False,False,True,False
stages.0.blocks.1.attn.w_msa.softmax,Softmax,False,,False,,False,False,False,True,False
stages.0.blocks.1.attn.drop,DropPath,False,,False,,False,False,False,True,False
stages.0.blocks.1.norm1,LayerNorm,True,"(352,)",True,"(352,)",False,False,True,False,False
stages.0.blocks.1.ffn,FFN,False,,False,,False,False,False,False,True
stages.0.blocks.1.ffn.activate,GELU,False,,False,,False,False,False,False,True
stages.0.blocks.1.ffn.layers,Sequential,False,,False,,False,False,False,False,True
stages.0.blocks.1.ffn.layers.0,Sequential,False,,False,,False,False,False,False,True
stages.0.blocks.1.ffn.layers.0.0,Linear,True,"(1408, 352)",True,"(1408,)",True,False,False,False,True
stages.0.blocks.1.ffn.layers.0.2,Dropout,False,,False,,False,False,False,False,True
stages.0.blocks.1.ffn.layers.1,Linear,True,"(352, 1408)",True,"(352,)",True,False,False,False,True
stages.0.blocks.1.ffn.layers.2,Dropout,False,,False,,False,False,False,False,True
stages.0.blocks.1.ffn.dropout_layer,DropPath,False,,False,,False,False,False,False,True
stages.0.blocks.1.norm2,LayerNorm,True,"(352,)",True,"(352,)",False,False,True,False,False
stages.1,SwinBlockV2Sequence,False,,False,,False,False,False,False,False
stages.1.downsample,PatchMerging,False,,False,,False,False,False,False,False
stages.1.downsample.adaptive_padding,AdaptivePadding,False,,False,,False,False,False,False,False
stages.1.downsample.sampler,Unfold,False,,False,,False,False,False,False,False
stages.1.downsample.reduction,Linear,True,"(704, 1408)",False,,True,False,False,False,False
stages.1.downsample.norm,LayerNorm,True,"(704,)",True,"(704,)",False,False,True,False,False
stages.1.blocks,ModuleList,False,,False,,False,False,False,False,False
stages.1.blocks.0,SwinBlockV2,False,,False,,False,False,False,False,False
stages.1.blocks.0.attn,ShiftWindowMSA,False,,False,,False,False,False,True,False
stages.1.blocks.0.attn.w_msa,WindowMSAV2,False,,False,,False,False,False,True,False
stages.1.blocks.0.attn.w_msa.cpb_mlp,Sequential,False,,False,,False,False,False,True,True
stages.1.blocks.0.attn.w_msa.cpb_mlp.0,Linear,True,"(512, 2)",True,"(512,)",True,False,False,True,True
stages.1.blocks.0.attn.w_msa.cpb_mlp.1,ReLU,False,,False,,False,False,False,True,True
stages.1.blocks.0.attn.w_msa.cpb_mlp.2,Linear,True,"(16, 512)",False,,True,False,False,True,True
stages.1.blocks.0.attn.w_msa.qkv,Linear,True,"(2112, 704)",False,,True,False,False,True,False
stages.1.blocks.0.attn.w_msa.attn_drop,Dropout,False,,False,,False,False,False,True,False
stages.1.blocks.0.attn.w_msa.proj,Linear,True,"(704, 704)",True,"(704,)",True,False,False,True,False
stages.1.blocks.0.attn.w_msa.proj_drop,Dropout,False,,False,,False,False,False,True,False
stages.1.blocks.0.attn.w_msa.softmax,Softmax,False,,False,,False,False,False,True,False
stages.1.blocks.0.attn.drop,DropPath,False,,False,,False,False,False,True,False
stages.1.blocks.0.norm1,LayerNorm,True,"(704,)",True,"(704,)",False,False,True,False,False
stages.1.blocks.0.ffn,FFN,False,,False,,False,False,False,False,True
stages.1.blocks.0.ffn.activate,GELU,False,,False,,False,False,False,False,True
stages.1.blocks.0.ffn.layers,Sequential,False,,False,,False,False,False,False,True
stages.1.blocks.0.ffn.layers.0,Sequential,False,,False,,False,False,False,False,True
stages.1.blocks.0.ffn.layers.0.0,Linear,True,"(2816, 704)",True,"(2816,)",True,False,False,False,True
stages.1.blocks.0.ffn.layers.0.2,Dropout,False,,False,,False,False,False,False,True
stages.1.blocks.0.ffn.layers.1,Linear,True,"(704, 2816)",True,"(704,)",True,False,False,False,True
stages.1.blocks.0.ffn.layers.2,Dropout,False,,False,,False,False,False,False,True
stages.1.blocks.0.ffn.dropout_layer,DropPath,False,,False,,False,False,False,False,True
stages.1.blocks.0.norm2,LayerNorm,True,"(704,)",True,"(704,)",False,False,True,False,False
stages.1.blocks.1,SwinBlockV2,False,,False,,False,False,False,False,False
stages.1.blocks.1.attn,ShiftWindowMSA,False,,False,,False,False,False,True,False
stages.1.blocks.1.attn.w_msa,WindowMSAV2,False,,False,,False,False,False,True,False
stages.1.blocks.1.attn.w_msa.cpb_mlp,Sequential,False,,False,,False,False,False,True,True
stages.1.blocks.1.attn.w_msa.cpb_mlp.0,Linear,True,"(512, 2)",True,"(512,)",True,False,False,True,True
stages.1.blocks.1.attn.w_msa.cpb_mlp.1,ReLU,False,,False,,False,False,False,True,True
stages.1.blocks.1.attn.w_msa.cpb_mlp.2,Linear,True,"(16, 512)",False,,True,False,False,True,True
stages.1.blocks.1.attn.w_msa.qkv,Linear,True,"(2112, 704)",False,,True,False,False,True,False
stages.1.blocks.1.attn.w_msa.attn_drop,Dropout,False,,False,,False,False,False,True,False
stages.1.blocks.1.attn.w_msa.proj,Linear,True,"(704, 704)",True,"(704,)",True,False,False,True,False
stages.1.blocks.1.attn.w_msa.proj_drop,Dropout,False,,False,,False,False,False,True,False
stages.1.blocks.1.attn.w_msa.softmax,Softmax,False,,False,,False,False,False,True,False
stages.1.blocks.1.attn.drop,DropPath,False,,False,,False,False,False,True,False
stages.1.blocks.1.norm1,LayerNorm,True,"(704,)",True,"(704,)",False,False,True,False,False
stages.1.blocks.1.ffn,FFN,False,,False,,False,False,False,False,True
stages.1.blocks.1.ffn.activate,GELU,False,,False,,False,False,False,False,True
stages.1.blocks.1.ffn.layers,Sequential,False,,False,,False,False,False,False,True
stages.1.blocks.1.ffn.layers.0,Sequential,False,,False,,False,False,False,False,True
stages.1.blocks.1.ffn.layers.0.0,Linear,True,"(2816, 704)",True,"(2816,)",True,False,False,False,True
stages.1.blocks.1.ffn.layers.0.2,Dropout,False,,False,,False,False,False,False,True
stages.1.blocks.1.ffn.layers.1,Linear,True,"(704, 2816)",True,"(704,)",True,False,False,False,True
stages.1.blocks.1.ffn.layers.2,Dropout,False,,False,,False,False,False,False,True
stages.1.blocks.1.ffn.dropout_layer,DropPath,False,,False,,False,False,False,False,True
stages.1.blocks.1.norm2,LayerNorm,True,"(704,)",True,"(704,)",False,False,True,False,False
stages.2,SwinBlockV2Sequence,False,,False,,False,False,False,False,False
stages.2.downsample,PatchMerging,False,,False,,False,False,False,False,False
stages.2.downsample.adaptive_padding,AdaptivePadding,False,,False,,False,False,False,False,False
stages.2.downsample.sampler,Unfold,False,,False,,False,False,False,False,False
stages.2.downsample.reduction,Linear,True,"(1408, 2816)",False,,True,False,False,False,False
stages.2.downsample.norm,LayerNorm,True,"(1408,)",True,"(1408,)",False,False,True,False,False
stages.2.blocks,ModuleList,False,,False,,False,False,False,False,False
stages.2.blocks.0,SwinBlockV2,False,,False,,False,False,False,False,False
stages.2.blocks.0.attn,ShiftWindowMSA,False,,False,,False,False,False,True,False
stages.2.blocks.0.attn.w_msa,WindowMSAV2,False,,False,,False,False,False,True,False
stages.2.blocks.0.attn.w_msa.cpb_mlp,Sequential,False,,False,,False,False,False,True,True
stages.2.blocks.0.attn.w_msa.cpb_mlp.0,Linear,True,"(512, 2)",True,"(512,)",True,False,False,True,True
stages.2.blocks.0.attn.w_msa.cpb_mlp.1,ReLU,False,,False,,False,False,False,True,True
