full_param_name,module_name,param_name,shape,numel,requires_grad
patch_embed.projection.weight,patch_embed.projection,weight,"(352, 3, 4, 4)",16896,True
patch_embed.projection.bias,patch_embed.projection,bias,"(352,)",352,True
patch_embed.norm.weight,patch_embed.norm,weight,"(352,)",352,True
patch_embed.norm.bias,patch_embed.norm,bias,"(352,)",352,True
stages.0.blocks.0.attn.w_msa.logit_scale,stages.0.blocks.0.attn.w_msa,logit_scale,"(8, 1, 1)",8,True
stages.0.blocks.0.attn.w_msa.q_bias,stages.0.blocks.0.attn.w_msa,q_bias,"(352,)",352,True
stages.0.blocks.0.attn.w_msa.v_bias,stages.0.blocks.0.attn.w_msa,v_bias,"(352,)",352,True
stages.0.blocks.0.attn.w_msa.cpb_mlp.0.weight,stages.0.blocks.0.attn.w_msa.cpb_mlp.0,weight,"(512, 2)",1024,True
stages.0.blocks.0.attn.w_msa.cpb_mlp.0.bias,stages.0.blocks.0.attn.w_msa.cpb_mlp.0,bias,"(512,)",512,True
stages.0.blocks.0.attn.w_msa.cpb_mlp.2.weight,stages.0.blocks.0.attn.w_msa.cpb_mlp.2,weight,"(8, 512)",4096,True
stages.0.blocks.0.attn.w_msa.qkv.weight,stages.0.blocks.0.attn.w_msa.qkv,weight,"(1056, 352)",371712,True
stages.0.blocks.0.attn.w_msa.proj.weight,stages.0.blocks.0.attn.w_msa.proj,weight,"(352, 352)",123904,True
stages.0.blocks.0.attn.w_msa.proj.bias,stages.0.blocks.0.attn.w_msa.proj,bias,"(352,)",352,True
stages.0.blocks.0.norm1.weight,stages.0.blocks.0.norm1,weight,"(352,)",352,True
stages.0.blocks.0.norm1.bias,stages.0.blocks.0.norm1,bias,"(352,)",352,True
stages.0.blocks.0.ffn.layers.0.0.weight,stages.0.blocks.0.ffn.layers.0.0,weight,"(1408, 352)",495616,True
stages.0.blocks.0.ffn.layers.0.0.bias,stages.0.blocks.0.ffn.layers.0.0,bias,"(1408,)",1408,True
stages.0.blocks.0.ffn.layers.1.weight,stages.0.blocks.0.ffn.layers.1,weight,"(352, 1408)",495616,True
stages.0.blocks.0.ffn.layers.1.bias,stages.0.blocks.0.ffn.layers.1,bias,"(352,)",352,True
stages.0.blocks.0.norm2.weight,stages.0.blocks.0.norm2,weight,"(352,)",352,True
stages.0.blocks.0.norm2.bias,stages.0.blocks.0.norm2,bias,"(352,)",352,True
stages.0.blocks.1.attn.w_msa.logit_scale,stages.0.blocks.1.attn.w_msa,logit_scale,"(8, 1, 1)",8,True
