layer,fro_change,relative_change,feat_dim,full_rank,stable_rank,dim_90,dim_95,top16_energy
base_model.model.backbone.stages.0.blocks.0,54.62868118,0.166785821,352,352,1.119339943,2,2,0.998894155
base_model.model.backbone.stages.0.blocks.1,78.47782898,0.255094171,352,352,1.236167312,2,4,0.989233732
base_model.model.backbone.stages.1.blocks.0,52.30714035,0.207045332,704,640,1.297019958,5,13,0.95982033
base_model.model.backbone.stages.1.blocks.1,80.17168427,0.234857038,704,640,1.309404016,6,19,0.944344282
base_model.model.backbone.stages.2.blocks.0,187.0745544,0.312042803,1408,640,1.249684691,9,25,0.930615544
base_model.model.backbone.stages.2.blocks.1,289.2811279,0.40531069,1408,640,1.32216084,14,36,0.909482062
base_model.model.backbone.stages.2.blocks.2,434.2752991,0.459547907,1408,640,1.324629068,15,41,0.906447828
base_model.model.backbone.stages.2.blocks.3,624.8082886,0.421078861,1408,640,1.324605346,14,43,0.908003569
base_model.model.backbone.stages.2.blocks.4,1191.218262,0.561870337,1408,640,1.15531075,4,16,0.950070381
base_model.model.backbone.stages.2.blocks.5,248.8577118,0.615201533,1408,640,1.628694177,36,87,0.842464805
base_model.model.backbone.stages.2.blocks.6,402.4862671,0.696815908,1408,640,1.728673458,49,110,0.816340804
base_model.model.backbone.stages.2.blocks.7,586.3213501,0.745969415,1408,640,1.851545453,67,139,0.784595072
base_model.model.backbone.stages.2.blocks.8,761.4018555,0.555531859,1408,640,2.101275682,89,172,0.743690908
base_model.model.backbone.stages.2.blocks.9,985.5831909,0.453698784,1408,640,1.889302135,81,164,0.76539892
base_model.model.backbone.stages.2.blocks.10,2726.224854,1.049893141,1408,640,1.10673213,1,15,0.951691031
base_model.model.backbone.stages.2.blocks.11,390.971283,0.75361973,1408,640,2.065422297,98,181,0.723902524
base_model.model.backbone.stages.2.blocks.12,509.1728821,0.808219433,1408,640,2.349622011,107,191,0.693382621
base_model.model.backbone.stages.2.blocks.13,632.3909912,0.830501556,1408,640,2.644786119,111,196,0.67582339
base_model.model.backbone.stages.2.blocks.14,790.289917,0.742757857,1408,640,2.710296631,109,195,0.670855284
base_model.model.backbone.stages.2.blocks.15,948.1754761,0.563752472,1408,640,2.919201612,104,189,0.671062231
base_model.model.backbone.stages.2.blocks.16,1262.212524,0.345594227,1408,640,2.44916749,78,158,0.72485441
base_model.model.backbone.stages.2.blocks.17,227.1221466,0.878934324,1408,640,3.27729249,102,182,0.635889173
base_model.model.backbone.stages.3.blocks.0,1097.526489,1.298448563,2816,640,1.269537926,22,66,0.883598328
base_model.model.backbone.stages.3.blocks.1,1473.812012,1.060992122,2816,640,1.379275203,34,98,0.85018301
