layer,num_samples,feat_dim,full_rank,stable_rank,frob_norm,spectral_norm,dim_30,dim_30_frac,dim_50,dim_50_frac,dim_70,dim_70_frac,dim_90,dim_90_frac,dim_95,dim_95_frac,top4_energy,top8_energy,top16_energy,top32_energy,top64_energy
base_model.model.backbone.stages.0.blocks.0.ffn.layers.0.0,640,1,1,0.9999999628846358,0.07238487765664631,0.07238487899303436,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.0.blocks.0.ffn.layers.0.0.lora_A.default,640,1,1,1.0000000324357554,10.75474088944597,10.754740715026855,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.0.blocks.0.ffn.layers.0.0.lora_B.default,640,1,1,0.9999999949614481,0.03619244686973405,0.03619244694709778,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.0.blocks.0.ffn.layers.1,640,1,1,1.000000019670961,0.056964640143341294,0.05696463957428932,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.0.blocks.1.attn.w_msa.proj,31360,1,1,0.9999999534037141,1.5383478044688197,1.538347840309143,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.0.blocks.1.ffn.layers.0.0,640,1,1,0.9999999514602672,0.713370007845234,0.7133700251579285,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.0.blocks.1.ffn.layers.0.0.base_layer,640,1,1,1.0000000397329565,0.7150805138558781,0.7150804996490479,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.0.blocks.1.ffn.layers.0.0.lora_A.default,640,1,1,1.0000000081348632,6.2091250672169425,6.20912504196167,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.0.blocks.1.ffn.layers.0.0.lora_B.default,640,1,1,0.9999999629458343,0.00412603751573458,0.00412603747099638,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.0.blocks.1.ffn.layers.1,640,1,1,0.9999999718522266,0.03884379884863703,0.038843799382448196,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.1.blocks.0.attn.w_msa.proj,10240,1,1,1.0000000142322694,0.10821872282014088,0.1082187220454216,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.1.blocks.0.ffn.layers.0.0,640,1,1,0.9999999574198047,0.18105713637916981,0.1810571402311325,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.1.blocks.0.ffn.layers.0.0.base_layer,640,1,1,1.0000000210857776,0.159974949261478,0.15997494757175446,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.1.blocks.0.ffn.layers.0.0.lora_A.default,640,1,1,1.0000000314090143,14.293484912277341,14.293484687805176,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.1.blocks.0.ffn.layers.0.0.lora_B.default,640,1,1,0.9999999910337345,0.022048121242054106,0.022048121318221092,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.1.blocks.0.ffn.layers.1,640,1,1,1.000000027212416,0.027991502013172166,0.02799150161445141,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.1.blocks.1.attn.w_msa.proj,10240,1,1,1.0000000113393415,0.21861903493605228,0.21861903369426727,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.1.blocks.1.ffn.layers.0.0,640,1,1,0.999999974090124,0.43226721322936296,0.4322672188282013,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.1.blocks.1.ffn.layers.0.0.base_layer,640,1,1,1.0000000407885934,0.42569873605230907,0.42569872736930847,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.1.blocks.1.ffn.layers.0.0.lora_A.default,640,1,1,1.0000000107669371,17.05810937527909,17.058109283447266,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.1.blocks.1.ffn.layers.0.0.lora_B.default,640,1,1,1.0000000038822885,0.005973675849217595,0.00597367575392127,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
