layer,fro_change,relative_change,feat_dim,full_rank,stable_rank,participation_ratio,effective_rank,dim_90,dim_95
base_model.model.backbone.stages.0.blocks.0.attn,0.0,0.0,352,0,,,,352,352
base_model.model.backbone.stages.0.blocks.0.ffn,42.66022872924805,0.11517982929944992,352,352,1.534218668937683,2.114548921585083,3.3420865535736084,3,6
base_model.model.backbone.stages.0.blocks.0,77.19916534423828,0.16686728596687317,352,352,1.3223366737365723,1.7009985446929932,2.7395660877227783,3,5
base_model.model.backbone.stages.0.blocks.1.attn,101.70477294921875,0.1500919610261917,352,352,1.377221703529358,1.833405613899231,3.159183979034424,3,6
base_model.model.backbone.stages.0.blocks.1.ffn,45.76364517211914,0.1399109959602356,352,352,1.462456226348877,2.0006890296936035,3.5848913192749023,4,9
base_model.model.backbone.stages.0.blocks.1,111.82450866699219,0.2573529779911041,352,352,1.625603437423706,2.45741605758667,5.122045993804932,7,15
base_model.model.backbone.stages.1.blocks.0.attn,149.69454956054688,0.08958245068788528,704,704,3.1897151470184326,6.913096904754639,14.345703125,17,28
base_model.model.backbone.stages.1.blocks.0.ffn,78.25599670410156,0.09922865778207779,704,704,3.092653274536133,7.042213439941406,17.27550506591797,23,39
base_model.model.backbone.stages.1.blocks.0,74.09788513183594,0.208353653550148,704,704,3.2067363262176514,7.341358661651611,18.647300720214844,26,46
base_model.model.backbone.stages.1.blocks.1.attn,111.79296112060547,0.08654157817363739,704,704,4.203587532043457,10.100360870361328,24.033267974853516,32,57
base_model.model.backbone.stages.1.blocks.1.ffn,113.66533660888672,0.10114944726228714,704,704,2.176814556121826,4.163467884063721,11.671093940734863,20,40
base_model.model.backbone.stages.1.blocks.1,113.29643249511719,0.23554301261901855,704,704,3.473503828048706,8.747408866882324,25.41082763671875,38,74
base_model.model.backbone.stages.2.blocks.0.attn,917.4683227539062,0.17221902310848236,1408,1280,5.590747356414795,13.752584457397461,29.98089599609375,35,61
base_model.model.backbone.stages.2.blocks.0.ffn,1408.58154296875,0.21101927757263184,1408,1280,3.584225654602051,10.186434745788574,34.606346130371094,56,113
base_model.model.backbone.stages.2.blocks.0,263.6402893066406,0.31164154410362244,1408,1280,7.426537036895752,20.605937957763672,51.875301361083984,73,141
