layer,weight_shape,feature_shape,feat_dim,num_samples,fro_norm,rel_change,dim_90,dim_95,stable_rank,participation_ratio,top4_energy,top8_energy,top16_energy,top32_energy,top64_energy,dim_90_frac
base_model.model.backbone.stages.0.blocks.0.attn.w_msa.cpb_mlp.0,"(512, 2)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0
base_model.model.backbone.stages.0.blocks.0.attn.w_msa.cpb_mlp.1,,"(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0
base_model.model.backbone.stages.0.blocks.0.attn.w_msa.cpb_mlp.2,"(8, 512)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0
base_model.model.backbone.stages.0.blocks.0.attn.w_msa.cpb_mlp,,"(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0
base_model.model.backbone.stages.0.blocks.0.attn.w_msa.softmax,,"(62720, 8)",8,62720,0.0,0.0,8,8,0.0,,0.0,0.0,,,,1.0
base_model.model.backbone.stages.0.blocks.0.attn.w_msa.attn_drop,,"(62720, 8)",8,62720,0.0,0.0,8,8,0.0,,0.0,0.0,,,,1.0
base_model.model.backbone.stages.0.blocks.0.attn.w_msa.proj,"(352, 352)","(62720, 352)",352,62720,0.0,0.0,352,352,0.0,,0.0,0.0,0.0,0.0,0.0,1.0
base_model.model.backbone.stages.0.blocks.0.attn.w_msa.proj_drop,,"(62720, 352)",352,62720,0.0,0.0,352,352,0.0,,0.0,0.0,0.0,0.0,0.0,1.0
base_model.model.backbone.stages.0.blocks.0.attn.w_msa,,"(62720, 352)",352,62720,0.0,0.0,352,352,0.0,,0.0,0.0,0.0,0.0,0.0,1.0
base_model.model.backbone.stages.0.blocks.0.attn.drop,,"(1280, 352)",352,1280,0.0,0.0,352,352,0.0,,0.0,0.0,0.0,0.0,0.0,1.0
base_model.model.backbone.stages.0.blocks.0.attn,,"(1280, 352)",352,1280,0.0,0.0,352,352,0.0,,0.0,0.0,0.0,0.0,0.0,1.0
base_model.model.backbone.stages.0.blocks.0.ffn.layers.0.0.base_layer,"(1408, 352)","(1280, 1408)",1408,1280,0.0,0.0,1280,1280,0.0,,0.0,0.0,0.0,0.0,0.0,0.9090909090909091
base_model.model.backbone.stages.0.blocks.0.ffn.layers.0.0.lora_dropout.default,,"(1280, 352)",352,1280,0.0,0.0,352,352,0.0,,0.0,0.0,0.0,0.0,0.0,1.0
base_model.model.backbone.stages.0.blocks.0.ffn.layers.0.0.lora_A.default,"(8, 352)","(1280, 8)",8,1280,117.57767486572266,2.699911781964829,3,4,2.059242010116577,2.6885998249053955,0.9741236567497253,0.9999999403953552,,,,0.375
base_model.model.backbone.stages.0.blocks.0.ffn.layers.0.0.lora_B.default,"(1408, 8)","(1280, 1408)",1408,1280,45.184261322021484,45184261322021.484,2,2,1.365356683731079,1.6875319480895996,0.9998234510421753,1.0,1.0,1.0,1.0,0.0014204545454545455
base_model.model.backbone.stages.0.blocks.0.ffn.layers.0.0,"(1408, 352)","(1280, 1408)",1408,1280,90.36852264404297,0.05094801694727685,2,2,1.3653557300567627,1.687530755996704,0.9998234510421753,1.0000001192092896,1.0000001192092896,1.0000001192092896,1.0000001192092896,0.0014204545454545455
base_model.model.backbone.stages.0.blocks.0.ffn.activate,,"(1280, 1408)",1408,1280,29.354990005493164,0.12394743725744761,7,11,1.700170636177063,2.651681661605835,0.8504789471626282,0.9285277128219604,0.9743000864982605,0.9903822541236877,0.9968321919441223,0.004971590909090909
base_model.model.backbone.stages.0.blocks.0.ffn.layers.0.2,,"(1280, 1408)",1408,1280,29.354990005493164,0.12394743725744761,7,11,1.700170636177063,2.651681661605835,0.8504789471626282,0.9285277128219604,0.9743000864982605,0.9903822541236877,0.9968321919441223,0.004971590909090909
base_model.model.backbone.stages.0.blocks.0.ffn.layers.0,,"(1280, 1408)",1408,1280,29.354990005493164,0.12394743725744761,7,11,1.700170636177063,2.651681661605835,0.8504789471626282,0.9285277128219604,0.9743000864982605,0.9903822541236877,0.9968321919441223,0.004971590909090909
base_model.model.backbone.stages.0.blocks.0.ffn.layers.1,"(352, 1408)","(1280, 352)",352,1280,42.66022872924805,0.11517983016646324,3,6,1.534218668937683,2.114548921585083,0.9319226741790771,0.9704079031944275,0.991461455821991,0.997751772403717,0.9994969367980957,0.008522727272727272
