layer,weight_shape,feature_shape,feat_dim,num_samples,fro_norm,rel_change,dim_90,dim_95,stable_rank,participation_ratio,top4_energy,top8_energy,top16_energy,top32_energy,top64_energy,dim_90_frac,weight_shape_parsed,feature_shape_parsed
base_model.model.backbone.stages.0.blocks.0.ffn.layers.0.0.lora_A.default,"(8, 352)","(1280, 8)",8,1280,117.57767486572266,2.699911781964829,3,4,2.059242010116577,2.6885998249053955,0.9741236567497252,0.9999999403953552,,,,0.375,"(8, 352)","(1280, 8)"
base_model.model.backbone.stages.0.blocks.1.ffn.layers.0.0.lora_A.default,"(8, 352)","(1280, 8)",8,1280,103.00740814208984,3.0897732945830727,3,4,1.9124870300292969,2.7811038494110107,0.953313171863556,0.9999999403953552,,,,0.375,"(8, 352)","(1280, 8)"
base_model.model.backbone.stages.0.blocks.0.attn.w_msa.cpb_mlp.2,"(8, 512)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(8, 512)","(20, 15)"
base_model.model.backbone.stages.0.blocks.1.attn.w_msa.cpb_mlp.2,"(8, 512)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(8, 512)","(20, 15)"
base_model.model.backbone.stages.1.blocks.0.ffn.layers.0.0.lora_A.default,"(8, 704)","(1280, 8)",8,1280,84.99565124511719,3.0852991162673424,5,6,2.36125111579895,3.700913906097412,0.8922927975654602,0.9999999403953552,,,,0.625,"(8, 704)","(1280, 8)"
base_model.model.backbone.stages.1.blocks.1.ffn.layers.0.0.lora_A.default,"(8, 704)","(1280, 8)",8,1280,284.82098388671875,10.516426116315358,5,6,2.480088233947754,3.693416118621826,0.8666003942489624,1.0000001192092896,,,,0.625,"(8, 704)","(1280, 8)"
base_model.model.backbone.stages.2.blocks.0.ffn.layers.0.0.lora_A.default,"(8, 1408)","(1280, 8)",8,1280,1103.5699462890625,26.66330933925594,1,2,1.0795021057128906,1.1637201309204102,0.9803471565246582,1.0,,,,0.125,"(8, 1408)","(1280, 8)"
base_model.model.backbone.stages.2.blocks.1.ffn.layers.0.0.lora_A.default,"(8, 1408)","(1280, 8)",8,1280,1642.5936279296875,46.25234072711448,1,2,1.0628808736801147,1.1288942098617554,0.9798214435577391,1.0,,,,0.125,"(8, 1408)","(1280, 8)"
base_model.model.backbone.stages.2.blocks.10.ffn.layers.0.0.lora_A.default,"(8, 1408)","(1280, 8)",8,1280,3626.614013671875,24.86743067033421,1,2,1.0758099555969238,1.1560804843902588,0.9768003225326538,1.0,,,,0.125,"(8, 1408)","(1280, 8)"
base_model.model.backbone.stages.2.blocks.11.ffn.layers.0.0.lora_A.default,"(8, 1408)","(1280, 8)",8,1280,4298.14794921875,31.12912706227385,2,3,1.142369031906128,1.2979673147201538,0.9701666831970216,1.0,,,,0.25,"(8, 1408)","(1280, 8)"
base_model.model.backbone.stages.2.blocks.12.ffn.layers.0.0.lora_A.default,"(8, 1408)","(1280, 8)",8,1280,1027.1011962890625,23.410159625622512,2,2,1.1883788108825684,1.385085940361023,0.9865850806236268,1.0,,,,0.25,"(8, 1408)","(1280, 8)"
base_model.model.backbone.stages.2.blocks.13.ffn.layers.0.0.lora_A.default,"(8, 1408)","(1280, 8)",8,1280,1303.793212890625,24.808712407020813,2,4,1.1888974905014038,1.4000617265701294,0.9573538899421692,1.0,,,,0.25,"(8, 1408)","(1280, 8)"
base_model.model.backbone.stages.2.blocks.14.ffn.layers.0.0.lora_A.default,"(8, 1408)","(1280, 8)",8,1280,1581.1656494140625,33.728448667292405,3,4,1.301644206047058,1.6452676057815552,0.9697837829589844,1.0,,,,0.375,"(8, 1408)","(1280, 8)"
