layer,weight_shape,feature_shape,num_samples,fro_change,relative_change,feat_dim,num_eigs,full_rank,stable_rank,participation_ratio,effective_rank,dim_30,dim_50,dim_70,dim_90,dim_95,top4_energy,top8_energy,top16_energy,top32_energy,top64_energy,top30_frac,top50_frac,top70_frac,top90_frac
base_model.model.backbone.stages.0.blocks.0.attn,,"(1280, 352)",1280,0.0,0.0,352,352,0,0.0,0.0,0.0,0,0,0,0,0,,,,,,0.0,0.0,0.0,0.0
base_model.model.backbone.stages.0.blocks.0.ffn,,"(1280, 352)",1280,42.66022872924805,0.11517982929944992,352,352,352,1.5342046713521427,2.1145338534730866,3.3421413409058203,1,1,2,3,6,0.9319184234083235,0.970405337177219,0.9914606549519089,0.9977515295916094,0.9994969477776211,0.002840909090909091,0.002840909090909091,0.005681818181818182,0.008522727272727272
base_model.model.backbone.stages.0.blocks.0,,"(1280, 352)",1280,77.19916534423828,0.16686728596687317,352,352,352,1.3223880411365203,1.7011157155047287,2.7398243530161333,1,1,1,3,5,0.9475928504003183,0.9787536706926997,0.9937056941148538,0.9983800544515485,0.9996541993938655,0.002840909090909091,0.002840909090909091,0.002840909090909091,0.008522727272727272
base_model.model.backbone.stages.0.blocks.1.attn,,"(1280, 352)",1280,101.70477294921875,0.1500919610261917,352,352,352,1.3772542893712403,1.8334814350892443,3.1593734425764093,1,1,1,3,6,0.9293739894962181,0.9659478390458192,0.9859474097218186,0.9957777187448645,0.9989570626457784,0.002840909090909091,0.002840909090909091,0.002840909090909091,0.008522727272727272
base_model.model.backbone.stages.0.blocks.1.ffn,,"(1280, 352)",1280,45.76364517211914,0.1399109959602356,352,352,352,1.4624756313710852,2.000739819572749,3.585079516038608,1,1,2,4,9,0.9082599934590667,0.9453154663859276,0.97359709835682,0.9908788708924195,0.9975537869295099,0.002840909090909091,0.002840909090909091,0.005681818181818182,0.011363636363636364
base_model.model.backbone.stages.0.blocks.1,,"(1280, 352)",1280,111.82450866699219,0.2573529779911041,352,352,352,1.6256254475974221,2.4574795884826974,5.122297541015165,1,1,2,7,15,0.8573676182483747,0.9179376094766329,0.9557194618996063,0.9820824498460223,0.9948526878466432,0.002840909090909091,0.002840909090909091,0.005681818181818182,0.019886363636363636
base_model.model.backbone.stages.1.blocks.0.attn,,"(1280, 704)",1280,149.69454956054688,0.08958245068788528,704,704,704,3.189679541922041,6.913064230244251,14.345975814257129,1,3,5,17,28,0.6337158010179176,0.7911939350041418,0.8971689392899005,0.9602584608359287,0.9881840120033405,0.0014204545454545455,0.004261363636363636,0.007102272727272727,0.024147727272727272
base_model.model.backbone.stages.1.blocks.0.ffn,,"(1280, 704)",1280,78.25599670410156,0.09922865778207779,704,704,704,3.092558439421248,7.041983834042668,17.276130075288467,1,3,7,23,39,0.6103520334570844,0.7414971131561834,0.8550610131463791,0.9368013255735489,0.974082587314604,0.0014204545454545455,0.004261363636363636,0.009943181818181818,0.032670454545454544
base_model.model.backbone.stages.1.blocks.0,,"(1280, 704)",1280,74.09788513183594,0.208353653550148,704,704,704,3.206719471191436,7.341418376570704,18.648299377992977,1,3,7,26,46,0.610013079748702,0.7269661848829946,0.8411620595781051,0.9240998975220914,0.9663447607459336,0.0014204545454545455,0.004261363636363636,0.009943181818181818,0.036931818181818184
base_model.model.backbone.stages.1.blocks.1.attn,,"(1280, 704)",1280,111.79296112060547,0.08654157817363739,704,704,704,4.2043317883158045,10.102316031680628,24.037051083911297,2,4,10,32,57,0.5486948670546031,0.6765568655041531,0.8043673117297023,0.9008831515266671,0.9581760080163375,0.002840909090909091,0.005681818181818182,0.014204545454545454,0.045454545454545456
base_model.model.backbone.stages.1.blocks.1.ffn,,"(1280, 704)",1280,113.66533660888672,0.10114944726228714,704,704,704,2.176920021827306,4.163850165621599,11.672718883129688,1,2,5,20,40,0.695024649623552,0.7935197289637084,0.8823024606413838,0.9379493273749147,0.9729876734019092,0.0014204545454545455,0.002840909090909091,0.007102272727272727,0.028409090909090908
base_model.model.backbone.stages.1.blocks.1,,"(1280, 704)",1280,113.29643249511719,0.23554301261901855,704,704,704,3.473469245334904,8.747394974816116,25.41185466213494,2,3,11,38,74,0.544858512486128,0.6613971190384849,0.779139290973756,0.8824372526834092,0.9417555761202763,0.002840909090909091,0.004261363636363636,0.015625,0.05397727272727273
base_model.model.backbone.stages.2.blocks.0.attn,,"(1280, 1408)",1280,917.4683227539062,0.17221902310848236,1408,1280,1280,5.591735659084988,13.754179735777987,29.98433716871686,2,5,12,35,61,0.4671340143732864,0.6186987992745956,0.7784711759511743,0.8905171321776741,0.9542542263240315,0.0015625,0.00390625,0.009375,0.02734375
base_model.model.backbone.stages.2.blocks.0.ffn,,"(1280, 1408)",1280,1408.58154296875,0.21101927757263184,1408,1280,1280,3.584081722444498,10.186029297752428,34.60880989775099,2,5,14,56,113,0.46721677613001983,0.5965262671708108,0.7334439464062213,0.8384719992783812,0.9116318584416072,0.0015625,0.00390625,0.0109375,0.04375
