layer,weight_shape,feature_shape,num_samples,fro_change,relative_change,feat_dim,num_eigs,full_rank,stable_rank,participation_ratio,effective_rank,dim_30,dim_50,dim_70,dim_90,dim_95,top4_energy,top8_energy,top16_energy,top32_energy,top64_energy,top30_frac,top50_frac,top70_frac,top90_frac
backbone.stages.0.blocks.0,,"(320, 352)",320,122.01673889160156,0.5252062678337097,352,320,320,1.3192456693914987,1.6960080074448705,2.7437595827468746,1,1,1,3,5,0.9374035831244549,0.9823816947118907,0.9939533947219841,0.9981037610792676,0.9996024818985172,0.003125,0.003125,0.003125,0.009375
backbone.stages.0.blocks.0.attn,,"(320, 352)",320,109.87940216064453,0.14030921459197998,352,320,320,1.0862539648248368,1.1782028398566458,1.5430651571405658,1,1,1,1,3,0.9766126501466549,0.9945261380996057,0.9987524339837119,0.9996985361139511,0.999966330307659,0.003125,0.003125,0.003125,0.003125
backbone.stages.0.blocks.0.ffn,,"(320, 352)",320,53.07048797607422,0.2957562208175659,352,320,319,1.4065376621557664,1.8994447586472656,3.2441800261401577,1,1,1,4,6,0.9165830689869587,0.9709018573848737,0.9903813310179214,0.9968369654087123,0.999283529606863,0.003125,0.003125,0.003125,0.0125
backbone.stages.0.blocks.1,,"(320, 352)",320,131.57705688476562,0.6070539355278015,352,320,320,2.2011097123864993,3.792614495608118,7.297566324196762,1,2,3,8,15,0.7975389632791247,0.9054872724089803,0.9563945458301409,0.9830314870658247,0.9954506891038151,0.003125,0.00625,0.009375,0.025
backbone.stages.0.blocks.1.attn,,"(320, 352)",320,133.51394653320312,0.395047128200531,352,320,320,1.401617454710759,1.8928928304037824,3.2016888046956176,1,1,1,4,6,0.9279172784081776,0.9735411342361546,0.9901586382258645,0.9973352328816921,0.9994961315826826,0.003125,0.003125,0.003125,0.0125
backbone.stages.0.blocks.1.ffn,,"(320, 352)",320,40.33366012573242,0.24617812037467957,352,320,319,3.4620999734242415,6.190845426010766,10.669107788105503,2,3,4,11,19,0.7312957093705575,0.8680592178420838,0.9410149058221347,0.9780431852547274,0.9945584765826643,0.00625,0.009375,0.0125,0.034375
backbone.stages.1.blocks.0,,"(320, 704)",320,104.15635681152344,0.5859570503234863,704,320,320,3.150962463851947,6.386886444315577,14.419687008037926,1,2,5,18,34,0.6558045120438882,0.7840084393614503,0.8865130613885442,0.946779851973431,0.9790844509743644,0.003125,0.00625,0.015625,0.05625
backbone.stages.1.blocks.0.attn,,"(320, 704)",320,263.2106628417969,0.3173255920410156,704,320,320,2.3036928761794986,4.150594053518657,8.36017572718285,1,2,3,10,17,0.7668543995610254,0.8766378553503967,0.9475049593972628,0.9811826457603208,0.9948667744837442,0.003125,0.00625,0.009375,0.03125
backbone.stages.1.blocks.0.ffn,,"(320, 704)",320,99.99321746826172,0.2543261647224426,704,320,320,2.654510029520505,5.251515268240083,12.473180089817369,1,2,4,18,34,0.7037145292081568,0.8025855534975581,0.8890936162045273,0.946862121444767,0.9802153939944532,0.003125,0.00625,0.0125,0.05625
backbone.stages.1.blocks.1,,"(320, 704)",320,142.4076385498047,0.5927873849868774,704,320,320,3.876848107291882,7.792561190304851,17.90974603493743,2,3,7,24,46,0.6236120484665852,0.7395806751313991,0.8578475083050748,0.9257447783690544,0.9673234382938553,0.00625,0.009375,0.021875,0.075
backbone.stages.1.blocks.1.attn,,"(320, 704)",320,175.08053588867188,0.27140676975250244,704,320,320,3.3097756412955515,7.5473150023540825,16.959492613664448,1,3,7,21,38,0.6022201596425952,0.748373914018383,0.8716955983368099,0.9400564627940075,0.9779193281467773,0.003125,0.009375,0.021875,0.065625
backbone.stages.1.blocks.1.ffn,,"(320, 704)",320,93.7706298828125,0.16782762110233307,704,320,320,1.542759000366267,2.307117281146607,6.008872508230258,1,1,2,13,28,0.8022402760798374,0.8640650467731945,0.9173020216637486,0.9579307552454219,0.9832568703632683,0.003125,0.003125,0.00625,0.040625
backbone.stages.2.blocks.0,,"(320, 1408)",320,252.15586853027344,0.6045339703559875,1408,320,320,6.345703137718577,15.462232869372963,34.00355234437323,3,6,13,43,78,0.4292931414921609,0.5930887560119064,0.7674988593567197,0.8683451265163313,0.9368926686567263,0.009375,0.01875,0.040625,0.134375
backbone.stages.2.blocks.0.attn,,"(320, 1408)",320,1082.0855712890625,0.4078419506549835,1408,320,320,6.533130739385061,13.85094399019696,26.824546571240962,2,5,10,29,51,0.462405766017587,0.6488192552631623,0.8155297079038583,0.9112149157779794,0.9653636718280676,0.00625,0.015625,0.03125,0.090625
backbone.stages.2.blocks.0.ffn,,"(320, 1408)",320,632.7212524414062,0.1902368813753128,1408,320,320,7.723069363601669,19.580621617474186,42.81590200281819,3,7,16,55,93,0.3864030780952916,0.5423984174898547,0.7054357007104859,0.8292013928655289,0.9172638649548026,0.009375,0.021875,0.05,0.171875
backbone.stages.2.blocks.1,,"(320, 1408)",320,319.9081726074219,0.6418004631996155,1408,320,320,7.03143822735305,17.908932653316626,39.88297781270549,3,7,14,52,93,0.3961546418331878,0.5582909908744227,0.7326816156249429,0.8430045212302756,0.9200847872827779,0.009375,0.021875,0.04375,0.1625
backbone.stages.2.blocks.1.attn,,"(320, 1408)",320,1263.4295654296875,0.38546547293663025,1408,320,320,7.256913959240403,16.555852914181024,31.783721270726566,3,6,12,36,61,0.4127756350056725,0.6122394825415511,0.7831982134168136,0.8879366864006254,0.9537914010699146,0.009375,0.01875,0.0375,0.1125
backbone.stages.2.blocks.1.ffn,,"(320, 1408)",320,563.5204467773438,0.20389896631240845,1408,320,320,9.38154459840323,25.088561713410083,54.31191790384499,4,9,21,71,113,0.327104314587516,0.49105371087190924,0.6486410665221415,0.7817897888791819,0.8884407587537548,0.0125,0.028125,0.065625,0.221875
