layer,group,shape,stable_rank,dim_30,dim_50,dim_70,dim_90,dim_95,total_rank_max,frob_norm,spectral_norm
base_model.model.backbone.stages.0.blocks.0.attn.w_msa.cpb_mlp.0,other,"(512, 2)",1.9777354001998901,1,1,2,2,2,2,13.128005981445312,9.335007667541504
base_model.model.backbone.stages.0.blocks.0.attn.w_msa.cpb_mlp.2,other,"(8, 512)",6.67523193359375,3,4,6,8,8,8,1.6505292654037476,0.6388369798660278
base_model.model.backbone.stages.0.blocks.0.attn.w_msa.qkv.base_layer,qkv,"(1056, 352)",142.45706176757812,53,100,162,257,294,352,18.736068725585938,1.569771647453308
base_model.model.backbone.stages.0.blocks.0.attn.w_msa.qkv.lora_A.default,qkv,"(8, 352)",6.816538333892822,3,4,6,7,8,8,1.642561912536621,0.6291291117668152
base_model.model.backbone.stages.0.blocks.0.attn.w_msa.qkv.lora_B.default,qkv,"(1056, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.0.blocks.0.attn.w_msa.proj,proj,"(352, 352)",87.49329376220703,33,64,106,179,214,352,10.851198196411133,1.1600863933563232
base_model.model.backbone.stages.0.blocks.0.ffn.layers.0.0.base_layer,ffn,"(1408, 352)",159.28475952148438,58,108,173,269,304,352,21.66044044494629,1.7162485122680664
base_model.model.backbone.stages.0.blocks.0.ffn.layers.0.0.lora_A.default,ffn,"(8, 352)",6.303095817565918,2,4,6,7,8,8,1.6205308437347412,0.6454764008522034
base_model.model.backbone.stages.0.blocks.0.ffn.layers.0.0.lora_B.default,ffn,"(1408, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.0.blocks.0.ffn.layers.1,ffn,"(352, 1408)",161.58966064453125,58,109,174,269,304,352,10.830050468444824,0.8519688248634338
base_model.model.backbone.stages.0.blocks.1.attn.w_msa.cpb_mlp.0,other,"(512, 2)",1.9314199686050415,1,1,2,2,2,2,13.050010681152344,9.39015007019043
base_model.model.backbone.stages.0.blocks.1.attn.w_msa.cpb_mlp.2,other,"(8, 512)",6.410434722900391,3,4,6,8,8,8,1.641914963722229,0.6484954357147217
base_model.model.backbone.stages.0.blocks.1.attn.w_msa.qkv.base_layer,qkv,"(1056, 352)",144.2761688232422,53,99,161,256,294,352,18.743581771850586,1.5604695081710815
base_model.model.backbone.stages.0.blocks.1.attn.w_msa.qkv.lora_A.default,qkv,"(8, 352)",6.798536777496338,3,4,6,8,8,8,1.6369730234146118,0.6278180480003357
base_model.model.backbone.stages.0.blocks.1.attn.w_msa.qkv.lora_B.default,qkv,"(1056, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.0.blocks.1.attn.w_msa.proj,proj,"(352, 352)",89.26935577392578,34,64,106,179,214,352,10.842840194702148,1.1476035118103027
base_model.model.backbone.stages.0.blocks.1.ffn.layers.0.0.base_layer,ffn,"(1408, 352)",159.37835693359375,58,108,173,269,304,352,21.658172607421875,1.7155648469924927
