layer,group,shape,full_rank,stable_rank,frob_norm,spectral_norm,dim_30,dim_30_frac,dim_50,dim_50_frac,dim_70,dim_70_frac,dim_90,dim_90_frac,dim_95,dim_95_frac,top4_energy,top8_energy,top16_energy,top32_energy,top64_energy
base_model.model.backbone.stages.0.blocks.0.attn.w_msa.qkv.base_layer,qkv,1056x352,352,8.042363513905894,28.94671787242791,10.207220077514648,5,0.014204545454545454,11,0.03125,20,0.056818181818181816,41,0.11647727272727272,60,0.17045454545454544,0.28767114877700806,0.420788437128067,0.6195650696754456,0.8643532991409302,0.9575769305229187
base_model.model.backbone.stages.0.blocks.0.attn.w_msa.proj,proj,352x352,352,21.55598917885506,13.52673461846859,2.913459539413452,12,0.03409090909090909,25,0.07102272727272728,44,0.125,77,0.21875,97,0.2755681818181818,0.1434558928012848,0.23792843520641327,0.3806776702404022,0.5900173187255859,0.8440518379211426
base_model.model.backbone.stages.0.blocks.0.ffn.layers.0.0.base_layer,ffn,1408x352,352,19.047745933971708,31.022394766535694,7.108099937438965,14,0.03977272727272727,28,0.07954545454545454,47,0.13352272727272727,83,0.23579545454545456,117,0.33238636363636365,0.12940718233585358,0.20753680169582367,0.3414793908596039,0.5544184446334839,0.8216225504875183
base_model.model.backbone.stages.0.blocks.0.ffn.layers.1,ffn,352x1408,352,34.04341994281552,26.537426125221007,4.548227787017822,19,0.05397727272727273,40,0.11363636363636363,72,0.20454545454545456,147,0.41761363636363635,194,0.5511363636363636,0.09077142924070358,0.1571369618177414,0.26929807662963867,0.43546608090400696,0.6624943017959595
base_model.model.backbone.stages.0.blocks.1.attn.w_msa.qkv.base_layer,qkv,1056x352,352,22.743324569089673,25.752998251568933,5.400087833404541,15,0.04261363636363636,33,0.09375,62,0.17613636363636365,122,0.3465909090909091,161,0.45738636363636365,0.12159035354852676,0.20108111202716827,0.3251637816429138,0.49298545718193054,0.7116754651069641
base_model.model.backbone.stages.0.blocks.1.attn.w_msa.proj,proj,352x352,352,26.552900011197302,13.937771508005683,2.7048137187957764,18,0.05113636363636364,39,0.11079545454545454,68,0.19318181818181818,116,0.32954545454545453,140,0.3977272727272727,0.10711513459682465,0.17291824519634247,0.2778719663619995,0.4452619254589081,0.6818932890892029
base_model.model.backbone.stages.0.blocks.1.ffn.layers.0.0.base_layer,ffn,1408x352,352,16.662049644718525,26.716159413885165,6.545002460479736,19,0.05397727272727273,43,0.12215909090909091,81,0.23011363636363635,164,0.4659090909090909,208,0.5909090909090909,0.11987434327602386,0.1787898689508438,0.2775373160839081,0.4241237938404083,0.6280402541160583
base_model.model.backbone.stages.0.blocks.1.ffn.layers.1,ffn,352x1408,352,20.61045864472258,27.683508591744992,6.09785795211792,16,0.045454545454545456,37,0.10511363636363637,69,0.19602272727272727,136,0.38636363636363635,176,0.5,0.12046444416046143,0.19006818532943726,0.30034971237182617,0.4608878195285797,0.6763388514518738
base_model.model.backbone.stages.1.downsample.reduction,other,704x1408,704,40.632302130761516,39.5585472699564,6.205897808074951,53,0.07528409090909091,106,0.15056818181818182,177,0.25142045454545453,292,0.4147727272727273,349,0.49573863636363635,0.050425153225660324,0.07673194259405136,0.12364029884338379,0.2063843458890915,0.34634533524513245
base_model.model.backbone.stages.1.blocks.0.attn.w_msa.cpb_mlp.2,other,16x512,16,2.7878550406752134,15.77474194782621,9.447723388671875,1,0.0625,2,0.125,3,0.1875,5,0.3125,6,0.375,0.8366553783416748,0.984971821308136,1.0,nan,nan
base_model.model.backbone.stages.1.blocks.0.attn.w_msa.qkv.base_layer,qkv,2112x704,704,29.062029457554733,52.28074566403486,9.697924613952637,21,0.029829545454545456,49,0.06960227272727272,97,0.1377840909090909,200,0.2840909090909091,261,0.37073863636363635,0.09801831841468811,0.1579950451850891,0.2542189657688141,0.3918890953063965,0.577278733253479
base_model.model.backbone.stages.1.blocks.0.attn.w_msa.proj,proj,704x704,704,14.725012079163555,27.621948626019083,7.198242664337158,31,0.04403409090909091,71,0.10085227272727272,128,0.18181818181818182,228,0.32386363636363635,286,0.40625,0.10431420803070068,0.14102217555046082,0.2032022774219513,0.30759671330451965,0.47105738520622253
base_model.model.backbone.stages.1.blocks.0.ffn.layers.0.0.base_layer,ffn,2816x704,704,18.522691682480332,55.78237043692658,12.961191177368164,45,0.06392045454545454,102,0.14488636363636365,183,0.2599431818181818,325,0.4616477272727273,399,0.5667613636363636,0.08295349031686783,0.11339697241783142,0.16095802187919617,0.2436283677816391,0.37643980979919434
base_model.model.backbone.stages.1.blocks.0.ffn.layers.1,ffn,704x2816,704,26.433173397111073,56.079598667597025,10.907626152038574,35,0.04971590909090909,79,0.11221590909090909,152,0.2159090909090909,318,0.45170454545454547,414,0.5880681818181818,0.07808586955070496,0.116517074406147,0.18140646815299988,0.28517723083496094,0.442045122385025
base_model.model.backbone.stages.1.blocks.1.attn.w_msa.cpb_mlp.2,other,16x512,16,1.4050926219565099,10.886886589910912,9.184409141540527,1,0.0625,1,0.0625,1,0.0625,4,0.25,5,0.3125,0.9329102039337158,0.9949861764907837,0.9999999403953552,nan,nan
base_model.model.backbone.stages.1.blocks.1.attn.w_msa.qkv.base_layer,qkv,2112x704,704,50.907123862325996,50.725406795128315,7.109454154968262,29,0.041193181818181816,67,0.09517045454545454,135,0.19176136363636365,285,0.40482954545454547,375,0.5326704545454546,0.07000687718391418,0.12149883806705475,0.2036004662513733,0.32608291506767273,0.4888676106929779
base_model.model.backbone.stages.1.blocks.1.attn.w_msa.proj,proj,704x704,704,10.002230697597343,28.04697510427818,8.868243217468262,25,0.03551136363636364,62,0.08806818181818182,118,0.16761363636363635,221,0.31392045454545453,277,0.3934659090909091,0.13505619764328003,0.1725086122751236,0.23707665503025055,0.3457590639591217,0.5094365477561951
